OID,feature_name,feature_class,state_alpha,state_numeric,county_name,county_numeric,prim_lat_dec,prim_long_dec,map_name,date_created,date_edited,base_elevation_ft
,Agate Bridge,Arch,AZ,04,Apache,001,34.892250199999999,-109.793725199999997,Adamana,02/08/1980,,5584
,Angels Window,Arch,AZ,04,Coconino,005,36.119999999999997,-111.946944400000007,Cape Royal,02/08/1980,02/23/2010,7723
,Big Hogan,Arch,AZ,04,Navajo,017,36.914166700000003,-110.075555600000001,Mitten Buttes,02/08/1980,09/17/2009,5426
,Eggshell Arch,Arch,AZ,04,Coconino,005,36.681665000000002,-110.790974000000006,Toenleshushe Canyon,02/08/1980,,6122
,Hole in the Rock,Arch,AZ,04,Coconino,005,36.938318700000004,-111.849338399999993,Wrather Arch,02/08/1980,,5994
,Keyhole Natural Bridge,Arch,AZ,04,Coconino,005,36.379982599999998,-112.581020899999999,Fishtail Mesa,02/08/1980,,3642
,Nachi Kulik,Arch,AZ,04,Pima,019,31.600555600000000,-111.707777800000002,Caponera Peak,02/08/1980,06/15/2010,2966
,Miners Arch,Arch,AZ,04,La Paz,012,34.164166700000003,-113.855555600000002,Swansea,02/08/1980,05/25/2010,1486
,Natural Arch,Arch,AZ,04,Navajo,017,36.762777800000002,-110.140833299999997,Agathla Peak,02/08/1980,01/22/2010,5574
,Pine Tree Arch,Arch,AZ,04,Navajo,017,36.902777800000003,-110.169166700000005,Mystery Valley,06/27/1984,09/24/2009,5689
,Forbidden Arch,Arch,AZ,04,Apache,001,36.958452999999999,-109.881709000000001,Rooster Rock,02/08/1980,01/22/2010,5026
,Needles Eye,Arch,AZ,04,La Paz,012,33.280311500000003,-114.562731200000002,Cibola SE,02/08/1980,05/25/2010,2477
,Onyx Bridge,Arch,AZ,04,Apache,001,35.108611099999997,-109.792222199999998,Kachina Point,02/08/1980,10/02/2009,5538
,Owl Head,Arch,AZ,04,La Paz,012,33.442255400000001,-113.916045800000006,Owl Head,02/08/1980,05/25/2010,2461
,Rock Window,Arch,AZ,04,Apache,001,36.622223099999999,-109.560941400000004,Little Round Rock,02/08/1980,,5564
,Royal Arch,Arch,AZ,04,La Paz,012,33.398611099999997,-113.663333300000005,Coyote Peak,02/08/1980,05/25/2010,1676
,Slit Rock,Arch,AZ,04,Pima,019,31.822295499999999,-112.611813699999999,Menagers Lake,02/08/1980,,2260
,Suns Eye,Arch,AZ,04,Navajo,017,36.915555599999998,-110.081666700000000,Mitten Buttes,02/08/1980,09/17/2009,5476
